Month, Budget, Actual
Sep-13, 1118506 ,0
Nov-13, 4118404 ,0
Dec-13, 1744492 ,8330874
Jan-14, 1929106 ,1835372
Feb-14, 2071614 ,2116680
Mar-14, 2291612 ,2284853
Apr-14, 5280597 ,2860646
May-14, 14826470 ,9301770
Jun-14, 23178070 ,11000000
Jul-14, 28436550 ,12000000
Aug-14, 34928860 ,13000000
Sep-14, 42203710 ,20000000
Oct-14, 34092590 ,25000000
Nov-14, 31064640 ,25000000
Dec-14, 27368860 ,30000000
Jan-15, 27539670 ,
Feb-15, 23631860 ,
Mar-15, 17713270 ,
Apr-15, 14334710 ,
May-15, 12238960 ,
Jun-15, 11169200 ,
Jul-15, 7822311  ,
Aug-15, 7654239  ,
Sep-15, 6298405  ,
Oct-15, 6069190  ,
Nov-15, 5292039  ,
Dec-15, 5310467  ,